test,name,timestamp,seed,run,load,maxIterations,total_runtime,saveMode,train,output,save,k,input,spark.driver.host,spark.driver.port,spark.jars,spark.app.name,spark.executor.id,spark.submit.deployMode,spark.master,spark.ui.filters,spark.driver.appUIAddress,spark.org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter.param.PROXY_HOSTS,spark.org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter.param.PROXY_URI_BASES,spark.app.id,description
1283225164,kmeans,15645758563619,127,0,713566613,2,11857007895,error,9860216118,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,36013,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557251843818_0004,application_1557251843818_0004,Classic benchmarking
450190756,kmeans,15658416541978,127,1,142621565,2,9569807554,error,8976995233,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,36013,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557251843818_0004,application_1557251843818_0004,Classic benchmarking
372388981,kmeans,15668225776993,127,2,90703656,2,6848986184,error,6385893547,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,36013,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557251843818_0004,application_1557251843818_0004,Classic benchmarking
406502672,kmeans,15675328166301,127,3,138137011,2,7103045275,error,6558405592,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,36013,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557251843818_0004,application_1557251843818_0004,Classic benchmarking
413588722,kmeans,15682639213792,127,4,53076144,2,6869973257,error,6403308391,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,36013,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557251843818_0004,application_1557251843818_0004,Classic benchmarking
387231015,kmeans,15689725691194,127,5,48412472,2,6651734439,error,6216090952,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,36013,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557251843818_0004,application_1557251843818_0004,Classic benchmarking
381575841,kmeans,15696502797545,127,6,40781427,2,6522118392,error,6099761124,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,36013,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557251843818_0004,application_1557251843818_0004,Classic benchmarking
365052292,kmeans,15703177345950,127,7,44381233,2,6643227004,error,6233793479,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,36013,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557251843818_0004,application_1557251843818_0004,Classic benchmarking
732577020,kmeans,15709995037086,127,8,39277552,2,7083768442,error,6311913870,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,36013,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557251843818_0004,application_1557251843818_0004,Classic benchmarking
406351155,kmeans,15717396426595,127,9,132393915,2,7841021633,error,7302276563,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,36013,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557251843818_0004,application_1557251843818_0004,Classic benchmarking
