,timestamp,total_runtime
12,1553112139341,6446761791.0
13,1553112145987,5568443669.0
26,1553112158364,4165840630.0
27,1553112162653,3808879747.0
40,1553112172118,3940432619.0
41,1553112176174,4119694402.0
54,1553112185611,3675115289.0
55,1553112189440,3853922260.0
68,1553112198691,4920924689.0
69,1553112203737,3497357157.0
82,1553112212375,3544801480.0
83,1553112216022,3903026726.0
96,1553112225201,3441769822.0
97,1553112228756,3401696376.0
110,1553112237290,3439518380.0
111,1553112240880,3914897462.0
124,1553112250563,3575597028.0
125,1553112254248,3450092778.0
138,1553112262852,3339577153.0
139,1553112266314,3503172880.0
