test,name,timestamp,seed,run,load,maxIterations,total_runtime,saveMode,train,output,save,k,input,spark.driver.host,spark.driver.port,spark.jars,spark.app.name,spark.executor.id,spark.submit.deployMode,spark.master,spark.ui.filters,spark.driver.appUIAddress,spark.org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter.param.PROXY_HOSTS,spark.org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter.param.PROXY_URI_BASES,spark.app.id,description
643343355,kmeans,8105678415257,127,0,838342808,2,14104345190,error,12622659027,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,45267,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557242834757_0004,application_1557242834757_0004,Classic benchmarking
456940358,kmeans,8120973953391,127,1,103186183,2,10108417737,error,9548291196,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,45267,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557242834757_0004,application_1557242834757_0004,Classic benchmarking
420962465,kmeans,8131244950912,127,2,53266371,2,7867588014,error,7393359178,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,45267,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557242834757_0004,application_1557242834757_0004,Classic benchmarking
502482021,kmeans,8139347182206,127,3,65799642,2,7496418073,error,6928136410,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,45267,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557242834757_0004,application_1557242834757_0004,Classic benchmarking
450776725,kmeans,8147176793899,127,4,44539051,2,7515406333,error,7020090557,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,45267,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557242834757_0004,application_1557242834757_0004,Classic benchmarking
415400046,kmeans,8154853150041,127,5,86897600,2,7211842529,error,6709544883,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,45267,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557242834757_0004,application_1557242834757_0004,Classic benchmarking
400905256,kmeans,8162229480118,127,6,42265171,2,7645060334,error,7201889907,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,45267,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557242834757_0004,application_1557242834757_0004,Classic benchmarking
764766214,kmeans,8170047389845,127,7,42535157,2,7492656901,error,6685355530,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,45267,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557242834757_0004,application_1557242834757_0004,Classic benchmarking
437682197,kmeans,8177723281821,127,8,56444716,2,8097859027,error,7603732114,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,45267,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557242834757_0004,application_1557242834757_0004,Classic benchmarking
467560667,kmeans,8186005105008,127,9,35909623,2,7172549927,error,6669079637,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,45267,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557242834757_0004,application_1557242834757_0004,Classic benchmarking
398828415,kmeans,8193407114528,127,10,50793322,2,7245797124,error,6796175387,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,45267,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557242834757_0004,application_1557242834757_0004,Classic benchmarking
386289795,kmeans,8200767476125,127,11,32022635,2,6817610119,error,6399297689,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,45267,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557242834757_0004,application_1557242834757_0004,Classic benchmarking
409041974,kmeans,8207751253114,127,12,32508679,2,6748595569,error,6307044916,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,45267,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557242834757_0004,application_1557242834757_0004,Classic benchmarking
411958473,kmeans,8214601844991,127,13,68210631,2,7265129316,error,6784960212,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,45267,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557242834757_0004,application_1557242834757_0004,Classic benchmarking
557731754,kmeans,8222016162906,127,14,33040489,2,7058429649,error,6467657406,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,45267,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557242834757_0004,application_1557242834757_0004,Classic benchmarking
405465368,kmeans,8229233488591,127,15,56886528,2,7353775544,error,6891423648,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,45267,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557242834757_0004,application_1557242834757_0004,Classic benchmarking
647118986,kmeans,8236720137563,127,16,77380544,2,9203435184,error,8478935654,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,45267,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557242834757_0004,application_1557242834757_0004,Classic benchmarking
391059232,kmeans,8246110927812,127,17,48428260,2,6989300389,error,6549812897,"",0,6,/tmp/spark-bench-test/kmeans-data.parquet,spark,45267,file:/usr/spark-bench/spark-bench_2.3.0_0.4.0-RELEASE/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,yarn,org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,http://spark:4040,nodemanager1,http://nodemanager1:8088/proxy/application_1557242834757_0004,application_1557242834757_0004,Classic benchmarking
