,timestamp,total_runtime
10,1553114328743,1530411134.0
11,1553114330516,1085971335.0
24,1553114353421,926959985.0
25,1553114354371,835167332.0
38,1553114367110,818221015.0
39,1553114367942,825797946.0
52,1553114380715,829211252.0
53,1553114381561,974628475.0
66,1553114393114,820274279.0
67,1553114393945,918205148.0
80,1553114405170,798442906.0
81,1553114405978,812091055.0
94,1553114416998,833765781.0
95,1553114417841,835269452.0
108,1553114428820,793011210.0
109,1553114429621,924760748.0
122,1553114439236,713938497.0
123,1553114439958,676641046.0
136,1553114449703,813742312.0
137,1553114450529,892800272.0
