,timestamp,total_runtime
12,1553114331990,12009610501.0
13,1553114344394,5958522391.0
26,1553114355309,4311581780.0
27,1553114359795,4746503426.0
40,1553114368853,4368142478.0
41,1553114373379,5003564856.0
54,1553114382690,4368743725.0
55,1553114387150,3866737404.0
68,1553114394935,3974477544.0
69,1553114399025,4118007401.0
82,1553114406872,3809917453.0
83,1553114410802,4301231071.0
96,1553114418781,4040270312.0
97,1553114422931,3739752575.0
110,1553114430616,3266014636.0
111,1553114433993,3508526259.0
124,1553114440714,3416337929.0
125,1553114444237,3502620916.0
138,1553114451513,3600035844.0
139,1553114455256,3643276827.0
