,timestamp,total_runtime
10,1553113015092,1954855059.0
11,1553113017428,1404263146.0
24,1553113035742,1031672056.0
25,1553113036792,726095142.0
38,1553113047362,694485385.0
39,1553113048070,841456867.0
52,1553113059366,662822040.0
53,1553113060047,714378031.0
66,1553113071266,1239583484.0
67,1553113072522,1084587939.0
80,1553113083325,619112808.0
81,1553113083954,606818321.0
94,1553113093898,765803847.0
95,1553113094675,697290265.0
108,1553113105466,722444506.0
109,1553113106196,787589304.0
122,1553113117481,710564243.0
123,1553113118257,715638429.0
136,1553113129384,794156269.0
137,1553113130189,643339965.0
