,timestamp,total_runtime
12,1553113019039,9115421933.0
13,1553113028363,4586048932.0
26,1553113037626,3754550986.0
27,1553113041516,3733134216.0
40,1553113049039,3567667595.0
41,1553113052695,4413087330.0
54,1553113060892,4042837084.0
55,1553113065046,3829137903.0
68,1553113073700,3861235424.0
69,1553113077692,3615063799.0
82,1553113084647,3749088946.0
83,1553113088516,3601051008.0
96,1553113095470,3812508410.0
97,1553113099361,3876239289.0
110,1553113107054,4437988869.0
111,1553113111626,4023428968.0
124,1553113119073,3777967802.0
125,1553113122925,4431265398.0
138,1553113130915,3890420548.0
139,1553113134952,4189529854.0
